build,version,platforms
276365,6.1.10,linux-2.6-ppc64;FreeBSD7-amd64;darwin-64;solaris-9-sparc;SunOS-sparc;linux-2.6-intel;FreeBSD7-i386;x64-windows;Linux-ppc64;Linux-i686;solaris-9-intel;AIX-powerpc;solaris-8-sparc;linux-2.6-amd64;HPUX-ia64;SunOS9-sparc;freebsd-7.3-intel;SunOS-i386;SunOS-x86_64;Linux-x86_64;linux-2.6-x86_64;solaris-10-intel;freebsd-7.3-amd64;x86-windows
276372,6.2.9,freebsd-7.3-intel;linux-2.6-intel;FreeBSD7-i386;SunOS-x86_64;Linux-x86_64;linux-2.6-ppc64;linux-2.6-x86_64;AIX-powerpc;SunOS10-sparc;solaris-8-sparc;darwin-64;solaris-10-intel;linux-2.6-amd64;x64-windows;Linux-ppc64;Linux-i686;solaris-10-sparc;x86-windows;SunOS-sparc
276414,5.0.15,FreeBSD7-amd64;darwin-64;SunOS-i386;SunOS-sparc;linux-2.6-intel;FreeBSD7-i386;x64-windows;Linux-i686;solaris-9-intel;AIX-powerpc;solaris-8-sparc;Darwin-universal;linux-2.6-amd64;HPUX-PARISC;freebsd-7.3-intel;HPUX-ia64;SunOS-x86_64;Linux-x86_64;linux-2.6-x86_64;solaris-10-intel;freebsd-7.3-amd64;x86-windows
276849,6.2.10,freebsd-7.3-intel;linux-2.6-intel;FreeBSD7-i386;SunOS-x86_64;HPUX-ia64;Linux-x86_64;linux-2.6-ppc64;linux-2.6-x86_64;AIX-powerpc;SunOS10-sparc;solaris-8-sparc;darwin-64;solaris-10-intel;linux-2.6-amd64;x64-windows;Linux-ppc64;Linux-i686;solaris-10-sparc;x86-windows;SunOS-sparc
277522,6.0.12,linux-2.6-ppc64;FreeBSD7-amd64;darwin-64;solaris-9-sparc;SunOS-sparc;linux-2.6-intel;FreeBSD7-i386;x64-windows;Linux-ppc64;Linux-i686;solaris-9-intel;AIX-powerpc;solaris-8-sparc;linux-2.6-amd64;HPUX-ia64;SunOS9-sparc;freebsd-7.3-intel;SunOS-i386;SunOS-x86_64;Linux-x86_64;linux-2.6-x86_64;solaris-10-intel;freebsd-7.3-amd64;x86-windows
277527,6.1.11,linux-2.6-ppc64;FreeBSD7-amd64;darwin-64;solaris-9-sparc;SunOS-sparc;linux-2.6-intel;FreeBSD7-i386;x64-windows;Linux-ppc64;Linux-i686;solaris-9-intel;AIX-powerpc;solaris-8-sparc;linux-2.6-amd64;HPUX-ia64;SunOS9-sparc;freebsd-7.3-intel;SunOS-i386;SunOS-x86_64;Linux-x86_64;linux-2.6-x86_64;solaris-10-intel;freebsd-7.3-amd64;x86-windows
277604,5.0.16,FreeBSD7-amd64;AIX-powerpc;solaris-9-intel;linux-2.6-intel;SunOS-i386;SunOS-x86_64;Darwin-universal;Linux-x86_64;linux-2.6-x86_64;freebsd-7.3-amd64;freebsd-7.3-intel;solaris-8-sparc;darwin-64;solaris-10-intel;linux-2.6-amd64;x64-windows;HPUX-ia64;FreeBSD7-i386;Linux-i686;x86-windows;SunOS-sparc
277653,6.2.11,AIX-powerpc;linux-2.6-intel;SunOS-x86_64;FreeBSD7-amd64;Linux-x86_64;linux-2.6-ppc64;linux-2.6-x86_64;freebsd-7.3-amd64;SunOS10-sparc;solaris-10-sparc;darwin-64;solaris-10-intel;linux-2.6-amd64;x64-windows;Linux-ppc64;Linux-i686;solaris-8-sparc;x86-windows;SunOS-sparc
277845,6.2.12,AIX-powerpc;linux-2.6-intel;SunOS-x86_64;FreeBSD7-amd64;Linux-x86_64;linux-2.6-x86_64;freebsd-7.3-amd64;SunOS10-sparc;solaris-8-sparc;darwin-64;solaris-10-intel;linux-2.6-amd64;x64-windows;Linux-i686;solaris-10-sparc;x86-windows;SunOS-sparc
278005,6.1.12,linux-2.6-ppc64;FreeBSD7-amd64;darwin-64;solaris-9-sparc;SunOS-sparc;linux-2.6-intel;FreeBSD7-i386;x64-windows;Linux-ppc64;Linux-i686;solaris-9-intel;AIX-powerpc;solaris-8-sparc;linux-2.6-amd64;HPUX-ia64;SunOS9-sparc;freebsd-7.3-intel;SunOS-i386;SunOS-x86_64;Linux-x86_64;linux-2.6-x86_64;solaris-10-intel;freebsd-7.3-amd64;x86-windows
